id;name;user_id;calories;carbohydrates;proteins;fats;sugar;sodium;price;type;vegan;vegetarian;celiac;halal
1;Avena con frutas;;300;50;10;5;20;10;2.5;1;1;1;1;1
2;Tostadas con aguacate;;250;30;6;10;3;150;3.0;1;1;1;0;1
3;Yogur con granola y miel;;200;35;8;4;15;50;2.0;1;0;1;1;1
4;Batido de plátano y avena;;180;40;5;2;20;20;1.5;1;1;1;1;1
5;Huevos revueltos con espinacas;;200;1;15;15;1;150;2.8;1;0;1;1;1
6;Pan integral con mantequilla de maní;;350;40;12;16;8;180;2.5;1;1;1;0;1
7;Porridge de quinoa con frutas secas;;280;50;7;8;25;10;3.2;1;1;1;1;1
8;Tortitas de avena y plátano;;320;60;6;9;30;25;2.0;1;1;1;0;1
9;Batido verde;;150;35;3;1;22;10;1.8;1;1;1;1;1
10;Muffin de zanahoria y nueces;;340;45;6;15;20;200;2.5;1;1;1;0;1
11;Croissant con mermelada;;400;45;5;22;30;300;3.5;1;0;1;0;1
12;Sandwich de pavo y queso;;320;30;20;12;4;450;4.0;1;0;1;1;1
13;Cereal integral con leche de almendra;;220;40;5;6;18;200;3.0;1;1;1;0;1
14;Chía pudding con fruta fresca;;190;25;4;9;15;5;2.0;1;1;1;1;1
15;Galletas de avena y pasas;;300;45;6;10;25;150;2.8;1;1;1;0;1
16;Tortilla de vegetales;;250;5;18;12;3;350;3.2;2;1;1;1;1
17;Smoothie de frutos rojos;;130;30;2;1;20;5;1.5;1;1;1;1;1
18;Panqueques con sirope de arce;;450;75;8;10;35;400;3.0;1;1;1;0;1
19;Fruta fresca con yogurt griego;;200;35;10;5;25;50;2.0;1;0;1;1;1
20;Gofres con fresas y nata;;380;60;6;18;30;150;3.5;1;0;1;0;1
21;Pollo asado con vegetales;;400;15;35;15;5;500;6.0;2;0;0;1;1
22;Salmón a la parrilla;;450;0;40;25;0;200;8.0;2;0;0;1;1
23;Spaghetti a la boloñesa;;600;80;25;20;10;600;7.0;2;0;0;0;1
24;Enchiladas de pollo;;550;45;30;25;6;800;7.5;2;0;0;0;1
25;Risotto de hongos;;500;70;15;18;7;400;6.5;2;0;0;0;1
26;Paella de mariscos;;600;65;35;15;2;800;9.0;2;0;0;1;1
27;Lasagna de carne;;700;60;30;35;10;900;8.5;2;0;0;0;1
28;Tacos de pescado;;450;35;25;20;3;500;6.0;2;0;0;1;1
29;Chuletas de cerdo con puré de papa;;650;50;30;25;2;900;7.5;2;0;0;0;0
30;Pollo al curry con arroz;;500;60;30;15;6;700;6.5;2;0;0;0;1
31;Hamburguesa con queso;;750;50;40;45;8;1200;9.0;2;0;0;1;1
32;Fajitas de carne;;600;45;35;20;5;700;8.0;2;0;0;1;1
33;Pollo teriyaki con arroz;;550;65;30;12;15;800;6.5;2;0;0;0;1
34;Guiso de lentejas con chorizo;;500;50;25;20;5;1000;5.0;2;0;0;1;0
35;Pollo tikka masala;;600;50;35;25;8;800;7.0;2;0;0;1;1
36;Cazuela de mariscos;;700;40;50;25;3;900;8.5;2;0;0;1;1
37;Falafel con ensalada;;450;40;15;25;5;500;5.5;2;1;1;1;1
38;Camarones al ajillo;;400;5;35;25;1;600;8.0;2;0;0;1;1
39;Estofado de res con papas;;650;30;45;25;4;800;9.0;2;0;0;0;0
40;Ensalada César con pollo;;500;20;40;30;2;700;7.0;2;0;0;1;1
41;Pollo a la parrilla con quinoa;;450;35;35;12;3;600;6.0;2;0;0;1;1
42;Tortilla española;;500;30;20;30;6;700;5.0;2;0;0;1;1
43;Pollo a la mostaza con papas;;550;45;35;20;4;600;6.5;2;0;0;0;1
44;Pechuga de pavo al horno;;400;5;40;15;1;300;7.5;2;0;0;1;1
45;Moussaka;;600;50;25;30;5;800;8.0;2;0;1;1;1
46;Ensalada mixta;;120;10;3;7;5;150;3.0;3;1;1;1;1
47;Patatas bravas;;250;30;5;12;1;400;2.5;3;1;1;1;1
48;Brócoli al vapor;;50;10;4;0;2;20;1.5;3;1;1;1;1
49;Guacamole con nachos;;350;25;6;25;2;500;4.0;3;1;1;0;1
50;Hummus con zanahorias;;200;20;6;10;1;150;2.5;3;1;1;1;1
51;Macarrones con queso;;450;60;15;20;5;600;3.0;3;0;1;0;1
52;Ensalada de col;;150;15;2;10;5;300;1.8;3;1;1;1;1
53;Arroz pilaf;;200;40;4;3;1;350;2.0;3;1;1;1;1
54;Garbanzos al curry;;250;40;8;6;2;450;2.8;3;1;1;1;1
55;Tostadas de ajo;;300;35;7;15;1;400;2.2;3;1;1;0;1
56;Espárragos a la parrilla;;100;10;5;5;2;150;3.0;3;1;1;1;1
57;Judías verdes salteadas;;80;15;4;2;1;200;2.0;3;1;1;1;1
58;Puré de patatas;;200;30;4;10;2;300;2.5;3;1;1;1;1
59;Coles de Bruselas asadas;;150;20;5;7;3;250;3.0;3;1;1;1;1
